R.FileName,R.Condition,UniqueProteins,UniquePeptides,MeanMissedCleavage,SummedIntensity
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_C4,pig126_day28,895,7213,0.5099142040038132,19815712.394239426
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_F3,pig126_day21,2062,16256,0.469795643386481,21844536.407729626
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_G3,pig126_day21,988,8545,0.5588905156987148,19981584.002158165
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_H3,pig126_day21,933,8028,0.5285023320089826,19433329.043070316
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_B2,pig126_day2,1163,9979,0.5358133579913222,25049624.11813116
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_C2,pig126_day2,1114,9896,0.5427579020493227,19778772.384939194
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_C3,pig126_day14,1514,11864,0.5113053964425686,20408455.177779615
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_D3,pig126_day14,1394,10673,0.4815674313751492,18327304.184584618
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_E3,pig126_day14,1430,10923,0.483996624034279,21934509.302728653
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_A2,pig126_day1,817,6371,0.5448953162097993,23021556.324619293
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_G1,pig126_day1,1199,9548,0.4903172330645769,16190970.292528868
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_H1,pig126_day1,1053,8231,0.5190123881624226,19494984.633550644
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_A1,pig126_day minus 5,1157,9447,0.5274162889311302,25749796.023449898
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_B1,pig126_day minus 5,1014,8392,0.5473261360783329,23351003.610592842
20250624_GJAL_AS_Evo_8cm_100SPD_RDS3982_Run5_C1,pig126_day minus 5,1009,8340,0.551140174379611,22528517.88648832
